"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"119",2434,"3 Mayor a 5%",2.43080180343228,2.07680778538069,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"4",FALSE
"121",2489,"3 Mayor a 5%",-0.363379774914871,0.241582503656637,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"124",2559,"2 entre -5% y 5%",2.84473678402556,4.21943190325408,0.137694153599676,1.37425900515292,1,0,0,1,0,0,0,1,0,"13",FALSE
"129",2714,"2 entre -5% y 5%",0.307288160021618,3.34918541967817,0.137694153599676,2.22770610888117,0,1,0,1,0,0,1,0,0,"7",FALSE
"130",2721,"2 entre -5% y 5%",-0.165671731685456,2.04792986486056,0.137694153599676,1.37425900515292,0,1,0,1,0,0,1,0,0,"8",FALSE
"134",2774,"2 entre -5% y 5%",0.602224982414558,3.39682720871751,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"5",FALSE
"135",2799,"3 Mayor a 5%",0.614474322062521,0.563754311034723,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"8",FALSE
"136",2806,"2 entre -5% y 5%",-0.487396711148187,-0.350517015445937,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"137",2812,"2 entre -5% y 5%",0.318713874545572,1.37404808475983,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"141",2871,"2 entre -5% y 5%",0.000101997980714093,2.68516747010116,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"7",FALSE
"143",2885,"2 entre -5% y 5%",-0.177354203839162,2.59041536699275,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"3",FALSE
"146",2944,"2 entre -5% y 5%",-0.378881933625469,3.29582365945013,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"149",2977,"2 entre -5% y 5%",-0.692904184195646,-0.379522523315791,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"5",FALSE
"151",3067,"2 entre -5% y 5%",3.33566037317418,1.54291160672916,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"13",FALSE
"152",3116,"2 entre -5% y 5%",-0.544837060889801,-0.48977923509257,0.137694153599676,1.37425900515292,1,0,0,1,0,0,0,1,0,"9",FALSE
"153",3117,"2 entre -5% y 5%",-0.130847727707368,1.50215223577853,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"9",FALSE
"154",3137,"2 entre -5% y 5%",-0.0175702628784873,0.496979334808143,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"7",FALSE
"156",3186,"2 entre -5% y 5%",1.55888423723314,0.636418220922259,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"157",3248,"2 entre -5% y 5%",0.318713874545572,2.70385449609789,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"158",3260,"2 entre -5% y 5%",0.0861818273380694,1.22457151594627,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"160",3319,"2 entre -5% y 5%",-0.00724760580806387,3.27903039999165,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"8",FALSE
"165",3440,"2 entre -5% y 5%",-0.456392727178458,2.09099878638392,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"171",3582,"2 entre -5% y 5%",0.318713874545572,0.869067683715905,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"13",FALSE
"174",3667,"2 entre -5% y 5%",-0.230287623549964,0.552207103739472,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"9",FALSE
"175",3681,"2 entre -5% y 5%",-0.0102480021100205,0.162049145988655,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"8",FALSE
"176",3684,"2 entre -5% y 5%",0.566748080463673,1.61810367570847,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"8",FALSE
